1,2,3
1,4,24
1,6,45
1,8,60
1,1,2
1,3,23
1,5,44
1,7,59
2,2,21
2,4,42
2,6,57
2,1,1
2,3,22
2,5,43
2,7,58
3,2,40
3,4,55
3,6,66
3,1,20
3,3,41
3,5,56
3,7,67
4,2,5
4,4,26
4,6,47
4,1,4
4,3,25
4,5,46
5,2,7
5,4,28
5,6,49
5,1,6
5,3,27
5,5,48
6,2,9
6,4,30
6,6,51
6,1,8
6,3,29
6,5,50
7,2,53
7,4,64
7,1,39
7,3,54
7,5,65
8,2,11
8,4,32
8,1,10
8,3,31
9,2,13
9,4,34
9,1,12
9,3,33
10,2,15
10,4,36
10,1,14
10,3,35
11,2,17
11,4,38
11,1,16
11,3,37
12,2,72
12,1,68
12,3,73
13,2,69
13,1,61
13,3,70
14,2,62
14,1,52
14,3,63
15,2,19
15,1,18
16,1,100
17,1,99
18,1,98
19,1,97
20,1,96
21,1,95
22,1,94
23,1,93
24,1,92
25,1,91
26,1,90
27,1,89
28,1,88
29,1,87
30,1,86
31,1,85
32,1,84
33,1,83
34,1,82
35,1,81
36,1,80
37,1,79
38,1,78
39,1,77
40,1,76
41,1,75
42,1,74
43,1,71
