1,2,3
1,4,42
1,6,71
1,1,2
1,3,41
1,5,70
2,2,73
2,4,80
2,1,65
2,3,74
2,5,81
3,2,66
3,4,75
3,1,38
3,3,67
3,5,76
4,2,39
4,4,68
4,1,1
4,3,40
4,5,69
5,2,78
5,4,85
5,1,72
5,3,79
5,5,86
6,2,83
6,4,90
6,1,77
6,3,84
6,5,91
7,2,23
7,4,62
7,1,22
7,3,61
8,2,25
8,4,64
8,1,24
8,3,63
9,2,21
9,4,60
9,1,20
9,3,59
10,2,19
10,4,58
10,1,18
10,3,57
11,2,17
11,4,56
11,1,16
11,3,55
12,2,15
12,4,54
12,1,14
12,3,53
13,2,13
13,4,52
13,1,12
13,3,51
14,2,11
14,4,50
14,1,10
14,3,49
15,2,9
15,4,48
15,1,8
15,3,47
16,2,7
16,4,46
16,1,6
16,3,45
17,2,5
17,4,44
17,1,4
17,3,43
18,2,96
18,1,92
18,3,97
19,2,93
19,1,87
19,3,94
20,2,88
20,1,82
20,3,89
21,2,33
21,1,32
22,2,37
22,1,36
23,2,35
23,1,34
24,2,31
24,1,30
25,2,29
25,1,28
26,2,27
26,1,26
27,1,95
28,1,98
29,1,99
30,1,100
