1,2,3
1,4,22
1,6,41
1,8,56
1,10,71
1,1,2
1,3,21
1,5,40
1,7,55
1,9,70
2,2,19
2,4,38
2,6,53
2,8,68
2,1,1
2,3,20
2,5,39
2,7,54
2,9,69
3,2,5
3,4,24
3,6,43
3,8,58
3,1,4
3,3,23
3,5,42
3,7,57
4,2,7
4,4,26
4,6,45
4,8,60
4,1,6
4,3,25
4,5,44
4,7,59
5,2,36
5,4,51
5,6,66
5,1,18
5,3,37
5,5,52
5,7,67
6,2,9
6,4,28
6,6,47
6,1,8
6,3,27
6,5,46
7,2,62
7,4,75
7,1,48
7,3,63
7,5,76
8,2,83
8,4,90
8,1,77
8,3,84
8,5,91
9,2,78
9,4,85
9,1,72
9,3,79
9,5,86
10,2,73
10,4,80
10,1,61
10,3,74
10,5,81
11,2,49
11,4,64
11,1,35
11,3,50
11,5,65
12,2,15
12,4,34
12,1,14
12,3,33
13,2,13
13,4,32
13,1,12
13,3,31
14,2,11
14,4,30
14,1,10
14,3,29
15,2,88
15,1,82
15,3,89
16,2,93
16,1,87
16,3,94
17,2,96
17,1,92
17,3,97
18,2,17
18,1,16
19,1,95
20,1,98
21,1,99
22,1,100
