1,2,3
1,4,42
1,6,61
1,8,78
1,10,93
1,1,2
1,3,41
1,5,60
1,7,77
1,9,92
2,2,39
2,4,58
2,6,75
2,8,90
2,1,1
2,3,40
2,5,59
2,7,76
2,9,91
3,2,5
3,4,44
3,6,63
3,8,80
3,1,4
3,3,43
3,5,62
3,7,79
4,2,7
4,4,46
4,6,65
4,8,82
4,1,6
4,3,45
4,5,64
4,7,81
5,2,56
5,4,73
5,6,88
5,1,38
5,3,57
5,5,74
5,7,89
6,2,9
6,4,48
6,6,67
6,1,8
6,3,47
6,5,66
7,2,11
7,4,50
7,6,69
7,1,10
7,3,49
7,5,68
8,2,71
8,4,86
8,1,55
8,3,72
8,5,87
9,2,13
9,4,52
9,1,12
9,3,51
10,2,15
10,4,54
10,1,14
10,3,53
11,2,95
11,1,83
11,3,96
12,2,84
12,1,70
12,3,85
13,2,31
13,1,30
14,2,37
14,1,36
15,2,35
15,1,34
16,2,33
16,1,32
17,2,29
17,1,28
18,2,27
18,1,26
19,2,25
19,1,24
20,2,23
20,1,22
21,2,21
21,1,20
22,2,19
22,1,18
23,2,17
23,1,16
24,1,94
25,1,97
26,1,98
27,1,99
28,1,100
