1,2,3
1,4,34
1,6,53
1,1,2
1,3,33
1,5,52
2,2,31
2,4,50
2,1,1
2,3,32
2,5,51
3,2,48
3,4,57
3,1,30
3,3,49
3,5,58
4,2,5
4,4,36
4,1,4
4,3,35
5,2,7
5,4,38
5,1,6
5,3,37
6,2,9
6,4,40
6,1,8
6,3,39
7,2,11
7,4,42
7,1,10
7,3,41
8,2,13
8,4,44
8,1,12
8,3,43
9,2,15
9,4,46
9,1,14
9,3,45
10,2,78
10,1,74
10,3,79
11,2,75
11,1,71
11,3,76
12,2,72
12,1,68
12,3,73
13,2,69
13,1,65
13,3,70
14,2,66
14,1,62
14,3,67
15,2,63
15,1,59
15,3,64
16,2,60
16,1,54
16,3,61
17,2,55
17,1,47
17,3,56
18,2,29
18,1,28
19,2,27
19,1,26
20,2,25
20,1,24
21,2,23
21,1,22
22,2,21
22,1,20
23,2,19
23,1,18
24,2,17
24,1,16
25,1,90
26,1,100
27,1,91
28,1,92
29,1,93
30,1,94
31,1,95
32,1,96
33,1,97
34,1,98
35,1,99
36,1,89
37,1,88
38,1,87
39,1,86
40,1,85
41,1,84
42,1,83
43,1,82
44,1,81
45,1,80
46,1,77
