1,2,3
1,4,56
1,6,85
1,1,2
1,3,55
1,5,84
2,2,53
2,4,82
2,1,1
2,3,54
2,5,83
3,2,80
3,4,89
3,1,52
3,3,81
3,5,90
4,2,23
4,4,76
4,1,22
4,3,75
5,2,25
5,4,78
5,1,24
5,3,77
6,2,21
6,4,74
6,1,20
6,3,73
7,2,19
7,4,72
7,1,18
7,3,71
8,2,17
8,4,70
8,1,16
8,3,69
9,2,15
9,4,68
9,1,14
9,3,67
10,2,13
10,4,66
10,1,12
10,3,65
11,2,11
11,4,64
11,1,10
11,3,63
12,2,9
12,4,62
12,1,8
12,3,61
13,2,7
13,4,60
13,1,6
13,3,59
14,2,5
14,4,58
14,1,4
14,3,57
15,2,87
15,1,79
15,3,88
16,2,41
16,1,40
17,2,51
17,1,50
18,2,49
18,1,48
19,2,47
19,1,46
20,2,45
20,1,44
21,2,39
21,1,38
22,2,37
22,1,36
23,2,35
23,1,34
24,2,33
24,1,32
25,2,31
25,1,30
26,2,29
26,1,28
27,2,27
27,1,26
28,2,43
28,1,42
29,1,100
30,1,99
31,1,98
32,1,97
33,1,96
34,1,95
35,1,94
36,1,93
37,1,92
38,1,91
39,1,86
