1,2,3
2,2,5
3,2,7
4,2,9
5,2,11
6,2,13
7,2,15
8,2,17
9,2,19
10,2,21
11,2,23
12,2,25
13,2,27
14,2,29
15,2,31
16,2,33
17,2,35
18,2,37
19,2,39
20,2,41
21,2,43
22,2,45
23,2,47
24,2,49
25,2,51
26,2,53
27,2,55
28,2,57
29,2,59
30,2,61
31,2,63
32,2,65
33,2,67
34,2,69
35,2,71
36,2,73
37,2,75
38,2,77
39,2,79
40,2,81
41,2,83
42,2,85
1,4,90
2,4,92
