1,2,3
1,4,24
1,6,37
1,1,2
1,3,23
1,5,36
2,2,21
2,4,34
2,1,1
2,3,22
2,5,35
3,2,5
3,4,26
3,1,4
3,3,25
4,2,7
4,4,28
4,1,6
4,3,27
5,2,9
5,4,30
5,1,8
5,3,29
6,2,75
6,1,71
6,3,76
7,2,78
7,1,74
7,3,79
8,2,72
8,1,68
8,3,73
9,2,69
9,1,65
9,3,70
10,2,66
10,1,62
10,3,67
11,2,63
11,1,59
11,3,64
12,2,60
12,1,56
12,3,61
13,2,57
13,1,53
13,3,58
14,2,54
14,1,50
14,3,55
15,2,51
15,1,47
15,3,52
16,2,45
16,1,41
16,3,46
17,2,48
17,1,44
17,3,49
18,2,32
18,1,20
18,3,33
19,2,42
19,1,38
19,3,43
20,2,39
20,1,31
20,3,40
21,2,19
21,1,18
22,2,17
22,1,16
23,2,15
23,1,14
24,2,13
24,1,12
25,2,11
25,1,10
26,1,90
27,1,91
28,1,92
29,1,93
30,1,94
31,1,95
32,1,96
33,1,97
34,1,98
35,1,99
36,1,100
37,1,89
38,1,88
39,1,87
40,1,86
41,1,85
42,1,84
43,1,83
44,1,82
45,1,81
46,1,80
47,1,77
