1,2,3
1,4,18
1,6,33
1,8,44
1,1,2
1,3,17
1,5,32
1,7,43
2,2,15
2,4,30
2,6,41
2,1,1
2,3,16
2,5,31
2,7,42
3,2,5
3,4,20
3,6,35
3,1,4
3,3,19
3,5,34
4,2,28
4,4,39
4,1,14
4,3,29
4,5,40
5,2,37
5,4,48
5,1,27
5,3,38
5,5,49
6,2,46
6,4,53
6,1,36
6,3,47
6,5,54
7,2,51
7,4,58
7,1,45
7,3,52
7,5,59
8,2,56
8,4,63
8,1,50
8,3,57
8,5,64
9,2,61
9,4,68
9,1,55
9,3,62
9,5,69
10,2,66
10,4,73
10,1,60
10,3,67
10,5,74
11,2,9
11,4,24
11,1,8
11,3,23
12,2,11
12,4,26
12,1,10
12,3,25
13,2,7
13,4,22
13,1,6
13,3,21
14,2,88
14,1,84
14,3,89
15,2,85
15,1,81
15,3,86
16,2,82
16,1,78
16,3,83
17,2,79
17,1,75
17,3,80
18,2,76
18,1,70
18,3,77
19,2,71
19,1,65
19,3,72
20,2,13
20,1,12
21,1,87
22,1,90
23,1,91
24,1,92
25,1,93
26,1,94
27,1,95
28,1,96
29,1,97
30,1,98
31,1,99
32,1,100
