1,2,3
1,4,30
1,6,51
1,8,68
1,1,2
1,3,29
1,5,50
1,7,67
2,2,46
2,4,63
2,6,74
2,1,26
2,3,47
2,5,64
2,7,75
3,2,27
3,4,48
3,6,65
3,1,1
3,3,28
3,5,49
3,7,66
4,2,5
4,4,32
4,6,53
4,1,4
4,3,31
4,5,52
5,2,7
5,4,34
5,6,55
5,1,6
5,3,33
5,5,54
6,2,9
6,4,36
6,6,57
6,1,8
6,3,35
6,5,56
7,2,11
7,4,38
7,6,59
7,1,10
7,3,37
7,5,58
8,2,82
8,4,89
8,1,76
8,3,83
8,5,90
9,2,77
9,4,84
9,1,69
9,3,78
9,5,85
10,2,70
10,4,79
10,1,60
10,3,71
10,5,80
11,2,61
11,4,72
11,1,45
11,3,62
11,5,73
12,2,87
12,4,94
12,1,81
12,3,88
12,5,95
13,2,92
13,4,99
13,1,86
13,3,93
13,5,100
14,2,17
14,4,44
14,1,16
14,3,43
15,2,15
15,4,42
15,1,14
15,3,41
16,2,13
16,4,40
16,1,12
16,3,39
17,2,97
17,1,91
17,3,98
18,2,25
18,1,24
19,2,23
19,1,22
20,2,21
20,1,20
21,2,19
21,1,18
22,1,96
