1,2,3
1,4,28
1,6,47
1,8,64
1,1,2
1,3,27
1,5,46
1,7,63
2,2,25
2,4,44
2,6,61
2,1,1
2,3,26
2,5,45
2,7,62
3,2,42
3,4,59
3,6,70
3,1,24
3,3,43
3,5,60
3,7,71
4,2,5
4,4,30
4,6,49
4,1,4
4,3,29
4,5,48
5,2,7
5,4,32
5,6,51
5,1,6
5,3,31
5,5,50
6,2,9
6,4,34
6,6,53
6,1,8
6,3,33
6,5,52
7,2,11
7,4,36
7,6,55
7,1,10
7,3,35
7,5,54
8,2,73
8,4,80
8,1,65
8,3,74
8,5,81
9,2,66
9,4,75
9,1,56
9,3,67
9,5,76
10,2,57
10,4,68
10,1,41
10,3,58
10,5,69
11,2,13
11,4,38
11,1,12
11,3,37
12,2,15
12,4,40
12,1,14
12,3,39
13,2,83
13,1,77
13,3,84
14,2,78
14,1,72
14,3,79
15,2,21
15,1,20
16,2,19
16,1,18
17,2,17
17,1,16
18,2,23
18,1,22
19,1,100
20,1,99
21,1,98
22,1,97
23,1,96
24,1,95
25,1,94
26,1,93
27,1,92
28,1,91
29,1,90
30,1,89
31,1,88
32,1,87
33,1,86
34,1,85
35,1,82
