1,2,3
1,4,28
1,6,47
1,8,62
1,10,75
1,1,2
1,3,27
1,5,46
1,7,61
1,9,74
2,2,42
2,4,57
2,6,70
2,8,83
2,1,24
2,3,43
2,5,58
2,7,71
2,9,84
3,2,25
3,4,44
3,6,59
3,8,72
3,1,1
3,3,26
3,5,45
3,7,60
3,9,73
4,2,5
4,4,30
4,6,49
4,8,64
4,1,4
4,3,29
4,5,48
4,7,63
5,2,55
5,4,68
5,6,81
5,1,41
5,3,56
5,5,69
5,7,82
6,2,7
6,4,32
6,6,51
6,1,6
6,3,31
6,5,50
7,2,9
7,4,34
7,6,53
7,1,8
7,3,33
7,5,52
8,2,77
8,4,88
8,1,65
8,3,78
8,5,89
9,2,66
9,4,79
9,1,54
9,3,67
9,5,80
10,2,13
10,4,38
10,1,12
10,3,37
11,2,15
11,4,40
11,1,14
11,3,39
12,2,11
12,4,36
12,1,10
12,3,35
13,2,86
13,1,76
13,3,87
14,2,91
14,1,85
14,3,92
15,2,94
15,1,90
15,3,95
16,2,23
16,1,22
17,2,21
17,1,20
18,2,19
18,1,18
19,2,17
19,1,16
20,1,93
21,1,96
22,1,97
23,1,98
24,1,99
25,1,100
