1,2,3
1,4,48
1,6,83
1,1,2
1,3,47
1,5,82
2,2,78
2,4,87
2,1,44
2,3,79
2,5,88
3,2,45
3,4,80
3,1,1
3,3,46
3,5,81
4,2,5
4,4,50
4,1,4
4,3,49
5,2,31
5,4,76
5,1,30
5,3,75
6,2,29
6,4,74
6,1,28
6,3,73
7,2,27
7,4,72
7,1,26
7,3,71
8,2,25
8,4,70
8,1,24
8,3,69
9,2,23
9,4,68
9,1,22
9,3,67
10,2,19
10,4,64
10,1,18
10,3,63
11,2,17
11,4,62
11,1,16
11,3,61
12,2,15
12,4,60
12,1,14
12,3,59
13,2,13
13,4,58
13,1,12
13,3,57
14,2,11
14,4,56
14,1,10
14,3,55
15,2,21
15,4,66
15,1,20
15,3,65
16,2,9
16,4,54
16,1,8
16,3,53
17,2,7
17,4,52
17,1,6
17,3,51
18,2,99
18,1,95
18,3,100
19,2,96
19,1,92
19,3,97
20,2,93
20,1,89
20,3,94
21,2,90
21,1,84
21,3,91
22,2,85
22,1,77
22,3,86
23,2,41
23,1,40
24,2,43
24,1,42
25,2,39
25,1,38
26,2,37
26,1,36
27,2,35
27,1,34
28,2,33
28,1,32
29,1,98
