1,2,3
1,4,42
1,6,67
1,8,90
1,1,2
1,3,41
1,5,66
1,7,89
2,2,39
2,4,64
2,6,87
2,1,1
2,3,40
2,5,65
2,7,88
3,2,5
3,4,44
3,6,69
3,1,4
3,3,43
3,5,68
4,2,7
4,4,46
4,6,71
4,1,6
4,3,45
4,5,70
5,2,9
5,4,48
5,6,73
5,1,8
5,3,47
5,5,72
6,2,11
6,4,50
6,6,75
6,1,10
6,3,49
6,5,74
7,2,13
7,4,52
7,6,77
7,1,12
7,3,51
7,5,76
8,2,15
8,4,54
8,6,79
8,1,14
8,3,53
8,5,78
9,2,17
9,4,56
9,6,81
9,1,16
9,3,55
9,5,80
10,2,62
10,4,85
10,1,38
10,3,63
10,5,86
11,2,83
11,4,94
11,1,61
11,3,84
11,5,95
12,2,92
12,4,99
12,1,82
12,3,93
12,5,100
13,2,19
13,4,58
13,1,18
13,3,57
14,2,21
14,4,60
14,1,20
14,3,59
15,2,97
15,1,91
15,3,98
16,2,27
16,1,26
17,2,37
17,1,36
18,2,35
18,1,34
19,2,33
19,1,32
20,2,31
20,1,30
21,2,29
21,1,28
22,2,25
22,1,24
23,2,23
23,1,22
24,1,96
