1,2,3
1,4,28
1,6,43
1,8,54
1,1,2
1,3,27
1,5,42
1,7,53
2,2,63
2,4,72
2,6,81
2,1,55
2,3,64
2,5,73
2,7,82
3,2,56
3,4,65
3,6,74
3,1,46
3,3,57
3,5,66
3,7,75
4,2,47
4,4,58
4,6,67
4,1,37
4,3,48
4,5,59
4,7,68
5,2,38
5,4,49
5,6,60
5,1,24
5,3,39
5,5,50
5,7,61
6,2,25
6,4,40
6,6,51
6,1,1
6,3,26
6,5,41
6,7,52
7,2,5
7,4,30
7,6,45
7,1,4
7,3,29
7,5,44
8,2,77
8,4,86
8,1,69
8,3,78
8,5,87
9,2,70
9,4,79
9,1,62
9,3,71
9,5,80
10,2,7
10,4,32
10,1,6
10,3,31
11,2,11
11,4,36
11,1,10
11,3,35
12,2,9
12,4,34
12,1,8
12,3,33
13,2,89
13,1,83
13,3,90
14,2,84
14,1,76
14,3,85
15,2,19
15,1,18
16,2,13
16,1,12
17,2,15
17,1,14
18,2,23
18,1,22
19,2,21
19,1,20
20,2,17
20,1,16
21,1,88
22,1,91
23,1,92
24,1,93
25,1,94
26,1,95
27,1,96
28,1,97
29,1,98
30,1,99
31,1,100
