1,2,3
1,4,48
1,1,2
1,3,47
2,2,68
2,1,64
2,3,69
3,2,45
3,1,1
3,3,46
4,2,50
4,1,44
4,3,51
5,2,53
5,1,49
5,3,54
6,2,56
6,1,52
6,3,57
7,2,59
7,1,55
7,3,60
8,2,62
8,1,58
8,3,63
9,2,65
9,1,61
9,3,66
10,2,71
10,1,67
10,3,72
11,2,74
11,1,70
11,3,75
12,2,77
12,1,73
12,3,78
13,2,80
13,1,76
13,3,81
14,2,83
14,1,79
14,3,84
15,2,86
15,1,82
15,3,87
16,2,89
16,1,85
16,3,90
17,2,5
17,1,4
18,2,43
18,1,42
19,2,41
19,1,40
20,2,37
20,1,36
21,2,7
21,1,6
22,2,9
22,1,8
23,2,11
23,1,10
24,2,13
24,1,12
25,2,15
25,1,14
26,2,17
26,1,16
27,2,19
27,1,18
28,2,21
28,1,20
29,2,25
29,1,24
30,2,27
30,1,26
31,2,29
31,1,28
32,2,31
32,1,30
33,2,33
33,1,32
34,2,35
34,1,34
35,2,39
35,1,38
36,2,23
36,1,22
37,1,100
38,1,99
39,1,98
40,1,97
41,1,96
42,1,95
43,1,94
44,1,93
45,1,92
46,1,91
47,1,88
