1,2,3
1,4,26
1,6,47
1,8,60
1,10,73
1,1,2
1,3,25
1,5,46
1,7,59
1,9,72
2,2,23
2,4,44
2,6,57
2,8,70
2,1,1
2,3,24
2,5,45
2,7,58
2,9,71
3,2,5
3,4,28
3,6,49
3,8,62
3,1,4
3,3,27
3,5,48
3,7,61
4,2,42
4,4,55
4,6,68
4,1,22
4,3,43
4,5,56
4,7,69
5,2,53
5,4,66
5,6,79
5,1,41
5,3,54
5,5,67
5,7,80
6,2,7
6,4,30
6,6,51
6,1,6
6,3,29
6,5,50
7,2,82
7,4,89
7,1,74
7,3,83
7,5,90
8,2,75
8,4,84
8,1,63
8,3,76
8,5,85
9,2,64
9,4,77
9,1,52
9,3,65
9,5,78
10,2,15
10,4,38
10,1,14
10,3,37
11,2,9
11,4,32
11,1,8
11,3,31
12,2,11
12,4,34
12,1,10
12,3,33
13,2,17
13,4,40
13,1,16
13,3,39
14,2,13
14,4,36
14,1,12
14,3,35
15,2,87
15,1,81
15,3,88
16,2,92
16,1,86
16,3,93
17,2,95
17,1,91
17,3,96
18,2,98
18,1,94
18,3,99
19,2,21
19,1,20
20,2,19
20,1,18
21,1,97
22,1,100
