1,2,3
1,4,26
1,6,45
1,1,2
1,3,25
1,5,44
2,2,23
2,4,42
2,1,1
2,3,24
2,5,43
3,2,40
3,4,49
3,1,22
3,3,41
3,5,50
4,2,5
4,4,28
4,1,4
4,3,27
5,2,7
5,4,30
5,1,6
5,3,29
6,2,9
6,4,32
6,1,8
6,3,31
7,2,11
7,4,34
7,1,10
7,3,33
8,2,13
8,4,36
8,1,12
8,3,35
9,2,15
9,4,38
9,1,14
9,3,37
10,2,70
10,1,66
10,3,71
11,2,64
11,1,60
11,3,65
12,2,73
12,1,69
12,3,74
13,2,76
13,1,72
13,3,77
14,2,79
14,1,75
14,3,80
15,2,82
15,1,78
15,3,83
16,2,85
16,1,81
16,3,86
17,2,88
17,1,84
17,3,89
18,2,91
18,1,87
18,3,92
19,2,94
19,1,90
19,3,95
20,2,67
20,1,63
20,3,68
21,2,61
21,1,57
21,3,62
22,2,58
22,1,54
22,3,59
23,2,55
23,1,51
23,3,56
24,2,52
24,1,46
24,3,53
25,2,47
25,1,39
25,3,48
26,2,21
26,1,20
27,2,19
27,1,18
28,2,17
28,1,16
29,1,93
30,1,96
31,1,97
32,1,98
33,1,99
34,1,100
