1,2,3
1,4,32
1,6,59
1,8,72
1,1,2
1,3,31
1,5,58
1,7,71
2,2,29
2,4,56
2,6,69
2,1,1
2,3,30
2,5,57
2,7,70
3,2,5
3,4,34
3,6,61
3,1,4
3,3,33
3,5,60
4,2,7
4,4,36
4,6,63
4,1,6
4,3,35
4,5,62
5,2,54
5,4,67
5,1,28
5,3,55
5,5,68
6,2,11
6,4,40
6,1,10
6,3,39
7,2,13
7,4,42
7,1,12
7,3,41
8,2,15
8,4,44
8,1,14
8,3,43
9,2,17
9,4,46
9,1,16
9,3,45
10,2,19
10,4,48
10,1,18
10,3,47
11,2,21
11,4,50
11,1,20
11,3,49
12,2,23
12,4,52
12,1,22
12,3,51
13,2,9
13,4,38
13,1,8
13,3,37
14,2,65
14,1,53
14,3,66
15,2,98
15,1,94
15,3,99
16,2,95
16,1,91
16,3,96
17,2,92
17,1,88
17,3,93
18,2,89
18,1,85
18,3,90
19,2,86
19,1,82
19,3,87
20,2,83
20,1,79
20,3,84
21,2,80
21,1,76
21,3,81
22,2,77
22,1,73
22,3,78
23,2,74
23,1,64
23,3,75
24,2,27
24,1,26
25,2,25
25,1,24
26,1,97
27,1,100
