1,2,3
1,4,20
1,6,37
1,8,52
1,10,67
1,12,82
1,1,2
1,3,19
1,5,36
1,7,51
1,9,66
1,11,81
2,2,17
2,4,34
2,6,49
2,8,64
2,10,79
2,1,1
2,3,18
2,5,35
2,7,50
2,9,65
2,11,80
3,2,5
3,4,22
3,6,39
3,8,54
3,10,69
3,1,4
3,3,21
3,5,38
3,7,53
3,9,68
4,2,32
4,4,47
4,6,62
4,8,77
4,1,16
4,3,33
4,5,48
4,7,63
4,9,78
5,2,45
5,4,60
5,6,75
5,8,90
5,1,31
5,3,46
5,5,61
5,7,76
5,9,91
6,2,58
6,4,73
6,6,88
6,8,99
6,1,44
6,3,59
6,5,74
6,7,89
6,9,100
7,2,7
7,4,24
7,6,41
7,8,56
7,1,6
7,3,23
7,5,40
7,7,55
8,2,71
8,4,86
8,6,97
8,1,57
8,3,72
8,5,87
8,7,98
9,2,9
9,4,26
9,6,43
9,1,8
9,3,25
9,5,42
10,2,84
10,4,95
10,1,70
10,3,85
10,5,96
11,2,11
11,4,28
11,1,10
11,3,27
12,2,13
12,4,30
12,1,12
12,3,29
13,2,93
13,1,83
13,3,94
14,2,15
14,1,14
15,1,92
