1,2,3
1,4,22
1,6,37
1,8,50
1,10,63
1,1,2
1,3,21
1,5,36
1,7,49
1,9,62
2,2,43
2,4,56
2,6,69
2,8,80
2,1,31
2,3,44
2,5,57
2,7,70
2,9,81
3,2,19
3,4,34
3,6,47
3,8,60
3,1,1
3,3,20
3,5,35
3,7,48
3,9,61
4,2,32
4,4,45
4,6,58
4,8,71
4,1,18
4,3,33
4,5,46
4,7,59
4,9,72
5,2,5
5,4,24
5,6,39
5,8,52
5,1,4
5,3,23
5,5,38
5,7,51
6,2,54
6,4,67
6,6,78
6,1,42
6,3,55
6,5,68
6,7,79
7,2,7
7,4,26
7,6,41
7,1,6
7,3,25
7,5,40
8,2,74
8,4,85
8,1,64
8,3,75
8,5,86
9,2,83
9,4,90
9,1,73
9,3,84
9,5,91
10,2,65
10,4,76
10,1,53
10,3,66
10,5,77
11,2,11
11,4,30
11,1,10
11,3,29
12,2,9
12,4,28
12,1,8
12,3,27
13,2,88
13,1,82
13,3,89
14,2,17
14,1,16
15,2,15
15,1,14
16,2,13
16,1,12
17,1,87
18,1,92
19,1,93
20,1,94
21,1,95
22,1,96
23,1,97
24,1,98
25,1,99
26,1,100
