1,2,3
1,4,34
1,6,65
1,8,78
1,1,2
1,3,33
1,5,64
1,7,77
2,2,60
2,4,73
2,6,84
2,1,30
2,3,61
2,5,74
2,7,85
3,2,31
3,4,62
3,6,75
3,1,1
3,3,32
3,5,63
3,7,76
4,2,5
4,4,36
4,6,67
4,1,4
4,3,35
4,5,66
5,2,7
5,4,38
5,6,69
5,1,6
5,3,37
5,5,68
6,2,71
6,4,82
6,1,59
6,3,72
6,5,83
7,2,27
7,4,58
7,1,26
7,3,57
8,2,25
8,4,56
8,1,24
8,3,55
9,2,23
9,4,54
9,1,22
9,3,53
10,2,21
10,4,52
10,1,20
10,3,51
11,2,19
11,4,50
11,1,18
11,3,49
12,2,17
12,4,48
12,1,16
12,3,47
13,2,15
13,4,46
13,1,14
13,3,45
14,2,13
14,4,44
14,1,12
14,3,43
15,2,11
15,4,42
15,1,10
15,3,41
16,2,9
16,4,40
16,1,8
16,3,39
17,2,80
17,1,70
17,3,81
18,2,87
18,1,79
18,3,88
19,2,90
19,1,86
19,3,91
20,2,93
20,1,89
20,3,94
21,2,96
21,1,92
21,3,97
22,2,99
22,1,95
22,3,100
23,2,29
23,1,28
24,1,98
