1,2,3
1,4,36
1,6,59
1,8,76
1,1,2
1,3,35
1,5,58
1,7,75
2,2,54
2,4,71
2,6,82
2,1,32
2,3,55
2,5,72
2,7,83
3,2,33
3,4,56
3,6,73
3,1,1
3,3,34
3,5,57
3,7,74
4,2,69
4,4,80
4,6,89
4,1,53
4,3,70
4,5,81
4,7,90
5,2,5
5,4,38
5,6,61
5,1,4
5,3,37
5,5,60
6,2,11
6,4,44
6,6,67
6,1,10
6,3,43
6,5,66
7,2,9
7,4,42
7,6,65
7,1,8
7,3,41
7,5,64
8,2,7
8,4,40
8,6,63
8,1,6
8,3,39
8,5,62
9,2,92
9,4,99
9,1,84
9,3,93
9,5,100
10,2,85
10,4,94
10,1,77
10,3,86
10,5,95
11,2,78
11,4,87
11,1,68
11,3,79
11,5,88
12,2,13
12,4,46
12,1,12
12,3,45
13,2,15
13,4,48
13,1,14
13,3,47
14,2,17
14,4,50
14,1,16
14,3,49
15,2,19
15,4,52
15,1,18
15,3,51
16,2,97
16,1,91
16,3,98
17,2,25
17,1,24
18,2,31
18,1,30
19,2,29
19,1,28
20,2,27
20,1,26
21,2,23
21,1,22
22,2,21
22,1,20
23,1,96
